"","country","week","mismatch","meanI","meanR0","meantemp","combination","meanRH"
"9356",36,28,0.25,1448941.47816441,0.783836595079534,NA,1,0.864057223167438
"9357",36,29,0.25,971067.523766031,0.785920340380652,NA,1,0.863921896951615
"9358",36,30,0.25,680535.567348345,0.817578017931348,NA,1,0.861897613235233
"9359",36,31,0.25,516658.278936732,0.880905596469591,NA,1,0.858013729304395
"9360",36,32,0.25,442624.757812259,0.97988196651852,NA,1,0.852326571399751
"9361",36,33,0.25,448020.337457576,1.12015026001808,NA,1,0.844918617842085
"9362",36,34,0.25,563047.498088316,1.30850960276494,NA,1,0.835897302885933
"9363",36,35,0.25,922768.708589922,1.5519329411071,NA,1,0.825393458648381
"9364",36,36,0.25,2043227.20687524,1.85595151112121,NA,1,0.813559417709082
"9365",36,37,0.25,5950111.28646717,2.22239123605598,NA,1,0.800566803898632
"9366",36,38,0.25,17649104.6898562,2.64674379826282,NA,1,0.786604043314508
"9367",36,39,0.25,30390071.4139086,3.11585697045728,NA,1,0.771873631661214
"9368",36,40,0.25,27853180.8997795,3.60695607626515,NA,1,0.756589197545169
"9369",36,41,0.25,24017552.4709211,4.08898533012663,NA,1,0.740972404314077
"9370",36,42,0.25,24383176.1000939,4.52667703787271,NA,1,0.725249735372015
"9371",36,43,0.25,25471636.7284997,4.88670766036068,NA,1,0.709649209591391
"9372",36,44,0.25,25673846.5212988,5.1442549519921,NA,1,0.694397074456687
"9373",36,45,0.25,25565744.6435982,5.28785683141949,NA,1,0.679714524897849
"9374",36,46,0.25,25465435.3484124,5.32102569442153,NA,1,0.665814495398636
"9375",36,47,0.25,25307328.1819262,5.26033886925554,NA,1,0.652898571902538
"9376",36,48,0.25,25074938.7075389,5.13101615274701,NA,1,0.641154068301522
"9377",36,49,0.25,24802183.5334544,4.96166638010963,NA,1,0.630751309906004
"9378",36,50,0.25,24520156.2958295,4.77974450493232,NA,1,0.621841163292646
"9379",36,51,0.25,24257383.4612114,4.60858385284368,NA,1,0.614552848353518
"9380",36,52,0.25,24043640.4449334,4.46610708832531,NA,1,0.608992064277499
"9381",36,53,0.25,23950635.7375257,4.40068139940862,NA,1,0.606546876580242
"9382",36,1,0.5,2600600.41058489,0.823121156920234,NA,1,0.604854484190496
"9383",36,2,0.5,1663004.82094036,0.784975252930145,NA,1,0.603233435322825
"9384",36,3,0.5,1087639.50376723,0.791251941964819,NA,1,0.603504077729266
"9385",36,4,0.5,760927.965761724,0.842631412947797,NA,1,0.605662486403409
"9386",36,5,0.5,601770.193067983,0.944550044321066,NA,1,0.609677358904564
"9387",36,6,0.5,574656.407991416,1.10707577392813,NA,1,0.615490469323125
"9388",36,7,0.5,714765.45750015,1.34422100298073,NA,1,0.623017512705035
"9389",36,8,0.5,1252057.58192797,1.67185104390759,NA,1,0.632149327689024
"9390",36,9,0.5,3245749.55151851,2.1030954656804,NA,1,0.642753479625265
"9391",36,10,0.5,11081409.3247329,2.6405068427303,NA,1,0.654676181216178
"9392",36,11,0.5,27244157.0549209,3.26573738638193,NA,1,0.667744522825184
"9393",36,12,0.5,29906714.6744187,3.93036485271793,NA,1,0.681768980108236
"9394",36,13,0.5,27386371.4991864,4.55436698417254,NA,1,0.696546162601057
"9395",36,14,0.5,25991362.664705,5.03854243593769,NA,1,0.711861763400548
"9396",36,15,0.5,26068779.3712142,5.29123624259277,NA,1,0.727493667162464
"9397",36,16,0.5,25910059.7263291,5.2598297926453,NA,1,0.743215171341421
"9398",36,17,0.5,25230128.1374469,4.95102793913435,NA,1,0.758798273957053
"9399",36,18,0.5,24203168.8566408,4.42819659020899,NA,1,0.774016980205288
"9400",36,19,0.5,22779984.7309882,3.78734248936525,NA,1,0.788650579960447
"9401",36,20,0.5,20881366.5709655,3.12538726836156,NA,1,0.802486848635995
"9402",36,21,0.5,18487730.9909863,2.5160614319536,NA,1,0.815325124983302
"9403",36,22,0.5,15665981.7070558,2.00081006534275,NA,1,0.826979221192449
"9404",36,23,0.5,12592636.7165175,1.59258116333387,NA,1,0.837280123091204
"9405",36,24,0.5,9539685.79822738,1.28572121431872,NA,1,0.846078441282359
"9406",36,25,0.5,6800867.48182175,1.06595905230642,NA,1,0.853246577671697
"9407",36,26,0.5,4589981.38736453,0.917538136722852,NA,1,0.858680575966377
"9408",36,27,0.5,2977365.56141581,0.827178327868537,NA,1,0.862301629306802
"9409",36,28,0.5,1902817.62203334,0.785776096227832,NA,1,0.864057223167438
"9410",36,29,0.5,1240168.3856868,0.788912310919528,NA,1,0.863921896951615
"9411",36,30,0.5,861545.578482805,0.836927027350701,NA,1,0.861897613235233
"9412",36,31,0.5,673629.371344459,0.934917554946637,NA,1,0.858013729304395
"9413",36,32,0.5,632754.117545438,1.09263288842553,NA,1,0.852326571399751
"9414",36,33,0.5,769776.006974952,1.32385137651894,NA,1,0.844918617842085
"9415",36,34,0.5,1311965.5547198,1.64442673355484,NA,1,0.835897302885933
"9416",36,35,0.5,3306977.97831331,2.0679148241597,NA,1,0.825393458648381
"9417",36,36,0.5,11221527.9077943,2.59796801034717,NA,1,0.813559417709082
"9418",36,37,0.5,29059675.2327625,3.21810811618366,NA,1,0.800566803898632
"9419",36,38,0.5,32493664.6501903,3.88227526699776,NA,1,0.786604043314508
"9420",36,39,0.5,26123614.8457198,4.51250501197927,NA,1,0.771873631661214
"9421",36,40,0.5,25296192.3124349,5.01022334744843,NA,1,0.756589197545169
"9422",36,41,0.5,26191117.5810586,5.28213831814864,NA,1,0.740972404314077
"9423",36,42,0.5,26034363.857602,5.2718962904983,NA,1,0.725249735372015
"9424",36,43,0.5,25293068.3856918,4.98169386992217,NA,1,0.709649209591391
"9425",36,44,0.5,24295418.4788764,4.47140374077008,NA,1,0.694397074456687
"9426",36,45,0.5,22914313.1369371,3.83573790897324,NA,1,0.679714524897849
"9427",36,46,0.5,21051545.0954839,3.17251616982763,NA,1,0.665814495398636
"9428",36,47,0.5,18690364.2209068,2.55763659779325,NA,1,0.652898571902538
"9429",36,48,0.5,15893333.6463917,2.03487291292975,NA,1,0.641154068301522
"9430",36,49,0.5,12828609.4758703,1.61893846530746,NA,1,0.630751309906004
"9431",36,50,0.5,9762693.05203268,1.30517177896148,NA,1,0.621841163292646
"9432",36,51,0.5,6991085.595286,1.07965026542351,NA,1,0.614552848353518
"9433",36,52,0.5,4736389.47827055,0.926562408430378,NA,1,0.608992064277499
"9434",36,53,0.5,3693285.19492475,0.864097658102221,NA,1,0.606546876580242
"9435",36,1,0.75,1924198.174937,0.808665441372417,NA,1,0.604854484190496
"9436",36,2,0.75,1271381.08896979,0.783447091060817,NA,1,0.603233435322825
"9437",36,3,0.75,854330.475252368,0.787616680078434,NA,1,0.603504077729266
"9438",36,4,0.75,601737.594219263,0.821455032655138,NA,1,0.605662486403409
"9439",36,5,0.75,460404.080303735,0.887195804356225,NA,1,0.609677358904564
"9440",36,6,0.75,398764.337993385,0.988945604140449,NA,1,0.615490469323125
"9441",36,7,0.75,409476.597904921,1.13244962947994,NA,1,0.623017512705035
"9442",36,8,0.75,523951.905263622,1.32455522781215,NA,1,0.632149327689024
"9443",36,9,0.75,877078.95300625,1.57218811055008,NA,1,0.642753479625265
"9444",36,10,0.75,1985551.16113979,1.88068774690227,NA,1,0.654676181216178
"9445",36,11,0.75,5862687.53575633,2.25150373801274,NA,1,0.667744522825184
"9446",36,12,0.75,17029775.1165843,2.67956295147519,NA,1,0.681768980108236
"9447",36,13,0.75,27886280.1927274,3.1510211562612,NA,1,0.696546162601057
"9448",36,14,0.75,26556102.1202342,3.64242430329618,NA,1,0.711861763400548
"9449",36,15,0.75,25507744.205891,4.1222455552057,NA,1,0.727493667162464
"9450",36,16,0.75,24913013.9828164,4.555141693543,NA,1,0.743215171341421
"9451",36,17,0.75,25412429.7943689,4.90820417085826,NA,1,0.758798273957053
"9452",36,18,0.75,25666239.7474519,5.15746108721012,NA,1,0.774016980205288
"9453",36,19,0.75,25630694.9721085,5.29253819474487,NA,1,0.788650579960447
"9454",36,20,0.75,25515202.8442074,5.31800782285092,NA,1,0.802486848635995
"9455",36,21,0.75,25341515.3882871,5.25124901885898,NA,1,0.815325124983302
"9456",36,22,0.75,25105782.7590375,5.11790504649971,NA,1,0.826979221192449
"9457",36,23,0.75,24831555.1495291,4.9466361774808,NA,1,0.837280123091204
"9458",36,24,0.75,24548829.011697,4.76467266811823,NA,1,0.846078441282359
"9459",36,25,0.75,24287567.1990647,4.59497470726159,NA,1,0.853246577671697
"9460",36,26,0.75,24077762.3736306,4.45505437778123,NA,1,0.858680575966377
"9461",36,27,0.75,23946371.3731826,4.35701903452769,NA,1,0.862301629306802
"9462",36,28,0.75,23912473.8148412,4.30822722841544,NA,1,0.864057223167438
"9463",36,29,0.75,23982802.916468,4.31201617531813,NA,1,0.863921896951615
"9464",36,30,0.75,24149137.2034828,4.36813426101896,NA,1,0.861897613235233
"9465",36,31,0.75,24388748.3508328,4.47270590622528,NA,1,0.858013729304395
"9466",36,32,0.75,24668480.3323076,4.61774190705926,NA,1,0.852326571399751
"9467",36,33,0.75,24951129.3781443,4.79039520423418,NA,1,0.844918617842085
"9468",36,34,0.75,25201482.5382238,4.97235605043895,NA,1,0.835897302885933
"9469",36,35,0.75,25389780.0490165,5.13994658805276,NA,1,0.825393458648381
"9470",36,36,0.75,25492026.3383494,5.26551720239604,NA,1,0.813559417709082
"9471",36,37,0.75,25488122.4956413,5.3205351705513,NA,1,0.800566803898632
"9472",36,38,0.75,25359087.4087129,5.28021425082877,NA,1,0.786604043314508
"9473",36,39,0.75,25084229.5347842,5.12876541499047,NA,1,0.771873631661214
"9474",36,40,0.75,24638794.8694813,4.86369501682838,NA,1,0.756589197545169
"9475",36,41,0.75,23992552.9042772,4.49748829223645,NA,1,0.740972404314077
"9476",36,42,0.75,23109951.2657575,4.05574299238932,NA,1,0.725249735372015
"9477",36,43,0.75,21952801.2001509,3.57213085279558,NA,1,0.709649209591391
"9478",36,44,0.75,20486743.1325416,3.0818011620768,NA,1,0.694397074456687
