"","country","week","mismatch","meanI","meanR0","meantemp","combination"
"8501",33,21,0,0.154424157489374,3.29896486339973,18.5529582182828,1
"8502",33,22,0,0.146466269711551,2.95219879055584,19.4864160940904,1
"8503",33,23,0,0.136589756137101,2.59656977450182,20.4391520573385,1
"8504",33,24,0,0.124632883198289,2.24737531051287,21.397349002239,1
"8505",33,25,0,0.110593485721395,1.91819708357116,22.3471106248168,1
"8506",33,26,0,0.0947352937874553,1.61937518664925,23.2746629548232,1
"8507",33,27,0,0.0776812430101224,1.35729017682036,24.1665541134986,1
"8508",33,28,0,0.060427900623829,1.13445691567398,25.0098494001849,1
"8509",33,29,0,0.0442107740942689,0.950219062874637,25.7923188785344,1
"8510",33,30,0,0.0302096186506736,0.801738986322401,26.5026147418353,1
"8511",33,31,0,0.0192018186403838,0.68500349418501,27.1304358852039,1
"8512",33,32,0,0.0113540324773171,0.595662358751127,27.6666772979252,1
"8513",33,33,0,0.00627485760508314,0.529625991775037,28.1035621093726,1
"8514",33,34,0,0.00327100453591502,0.483431753321671,28.4347543735026,1
"8515",33,35,0,0.00162937594135344,0.454432553616919,28.6554509562609,1
"8516",33,36,0,0.00078807161550506,0.44087262104168,28.7624511932993,1
"8517",33,37,0,0.000376918101353762,0.441906407801632,28.7542033077859,1
"8518",33,38,0,0.000181883476505535,0.457598922744395,28.6308269151348,1
"8519",33,39,0,9.05004104701795e-05,0.48892590707084,28.3941112882765,1
"8520",33,40,0,4.75320715036142e-05,0.537772441646354,28.0474894086289,1
"8521",33,41,0,2.70216062214225e-05,0.606908717951813,27.5959881790951,1
"8522",33,42,0,1.70783232643201e-05,0.699901923588454,27.0461555211271,1
"8523",33,43,0,1.23417796228575e-05,0.820906243823077,26.4059654131345,1
"8524",33,44,0,1.04943585210616e-05,0.974266166210866,25.6847022474228,1
"8525",33,45,0,1.07989947911528e-05,1.16388345622931,24.8928261827833,1
"8526",33,46,0,1.38017198947291e-05,1.39234785035211,24.0418214454635,1
"8527",33,47,0,2.23938115635159e-05,1.65991974137312,23.1440297785437,1
"8528",33,48,0,4.68681205996567e-05,1.96356370145095,22.2124714551276,1
"8529",33,49,0,0.000127552519430613,2.29632185918581,21.2606564511152,1
"8530",33,50,0,0.000450803055470737,2.64732696695281,20.3023885160323,1
"8531",33,51,0,0.00204136898052838,3.00264215195932,19.3515649833932,1
"8532",33,52,0,0.0113651359781059,3.346885924034,18.4219752238558,1
"8533",33,53,0,0.0279034360032562,3.53423667179978,17.9037958265349,1
"8534",33,1,0.25,0.212670620129275,4.31598725016153,17.4028598585251,1
"8535",33,2,0.25,0.159728611113918,4.41363209020983,16.5635131503083,1
"8536",33,3,0.25,0.150694958819721,4.42650725841303,15.785834090481,1
"8537",33,4,0.25,0.168717370375064,4.37302161779254,15.0811010124463,1
"8538",33,5,0.25,0.18285998270945,4.27616778148258,14.4595343464883,1
"8539",33,6,0.25,0.173797148952619,4.15932351182004,13.9301483974187,1
"8540",33,7,0.25,0.167022739143396,4.04321247672542,13.500620614125,1
"8541",33,8,0.25,0.165059163450079,3.94429177676645,13.1771802469446,1
"8542",33,9,0.25,0.164862859950027,3.87431049804806,12.9645180076192,1
"8543",33,10,0.25,0.164980150092472,3.84054691919722,12.865718041989,1
"8544",33,11,0.25,0.165376892123967,3.84623738489833,12.8822132019978,1
"8545",33,12,0.25,0.166361148338025,3.89084845094113,13.013764265679,1
"8546",33,13,0.25,0.167945276481703,3.97002827062766,13.2584634064852,1
"8547",33,14,0.25,0.169861967585086,4.07526458505848,13.6127618616477,1
"8548",33,15,0.25,0.171760289220232,4.1934675803113,14.0715213983041,1
"8549",33,16,0.25,0.173326092483674,4.30687319999425,14.6280888310035,1
"8550",33,17,0.25,0.174306652866073,4.39377390288238,15.2743925098949,1
"8551",33,18,0.25,0.174489977778404,4.43053045392757,16.0010593802739,1
"8552",33,19,0.25,0.173680679012817,4.3949986750395,16.7975509158248,1
"8553",33,20,0.25,0.17167806072183,4.27091411828742,17.6523159541788,1
"8554",33,21,0.25,0.168254909200316,4.05210690501304,18.5529582182828,1
"8555",33,22,0.25,0.163141444820318,3.74504592695068,19.4864160940904,1
"8556",33,23,0.25,0.156023722446622,3.36849730212299,20.4391520573385,1
"8557",33,24,0.25,0.146568704909957,2.95006408948631,21.397349002239,1
"8558",33,25,0.25,0.134491509613077,2.52061893110026,22.3471106248168,1
"8559",33,26,0.25,0.119678642198166,2.10846542483023,23.2746629548232,1
"8560",33,27,0.25,0.102361951382106,1.73501167466285,24.1665541134986,1
"8561",33,28,0.25,0.0832900233082259,1.41290992507349,25.0098494001849,1
"8562",33,29,0.25,0.0637789228052169,1.14655257097749,25.7923188785344,1
"8563",33,30,0.25,0.0455070405966143,0.934079285510102,26.5026147418353,1
"8564",33,31,0.25,0.0300387117552733,0.769874653491539,27.1304358852039,1
"8565",33,32,0.25,0.018295869096827,0.646792391080791,27.6666772979252,1
"8566",33,33,0.25,0.0103148825872742,0.557749134683136,28.1035621093726,1
"8567",33,34,0.25,0.00543237899177921,0.496664803326789,28.4347543735026,1
"8568",33,35,0.25,0.00271168674368778,0.458904183941102,28.6554509562609,1
"8569",33,36,0.25,0.00130738706674409,0.441417633433304,28.7624511932993,1
"8570",33,37,0.25,0.00062250190373165,0.44274678899712,28.7542033077859,1
"8571",33,38,0.25,0.000300138240838656,0.463003502613858,28.6308269151348,1
"8572",33,39,0.25,0.000150650065018916,0.503871998010277,28.3941112882765,1
"8573",33,40,0.25,8.11560626512331e-05,0.568630472439976,28.0474894086289,1
"8574",33,41,0.25,4.85171711395024e-05,0.662134141213339,27.5959881790951,1
"8575",33,42,0.25,3.33765159070284e-05,0.790642911343769,27.0461555211271,1
"8576",33,43,0.25,2.74548337357994e-05,0.961320747397606,26.4059654131345,1
"8577",33,44,0.25,2.80746005178362e-05,1.18120899127045,25.6847022474228,1
"8578",33,45,0.25,3.70263739502045e-05,1.45553492035989,24.8928261827833,1
"8579",33,46,0.25,6.49799721992278e-05,1.78541717391483,24.0418214454635,1
"8580",33,47,0.25,0.000155059218786859,2.16538247030392,23.1440297785437,1
"8581",33,48,0.25,0.000507014745996618,2.58151008614845,22.2124714551276,1
"8582",33,49,0.25,0.00224571011461411,3.01123195934426,21.2606564511152,1
"8583",33,50,0.25,0.0128095829273142,3.4255619808941,20.3023885160323,1
"8584",33,51,0.25,0.0757027162588127,3.79372179263863,19.3515649833932,1
"8585",33,52,0.25,0.232289924517529,4.08906126747771,18.4219752238558,1
"8586",33,53,0.25,0.275425579608842,4.22193357635763,17.9037958265349,1
"8587",33,1,0.5,0.127052927166474,3.04566186631006,17.4028598585251,1
"8588",33,2,0.5,0.119323537999268,2.55595118097915,16.5635131503083,1
"8589",33,3,0.5,0.107443155381994,2.08949791058939,15.785834090481,1
"8590",33,4,0.5,0.0912579422240657,1.68500797256197,15.0811010124463,1
"8591",33,5,0.5,0.0731080232017235,1.35832023579656,14.4595343464883,1
"8592",33,6,0.5,0.0552427132095275,1.10915637931159,13.9301483974187,1
"8593",33,7,0.5,0.0393944417775473,0.928892864136353,13.500620614125,1
"8594",33,8,0.5,0.0266536245382758,0.806553450535367,13.1771802469446,1
"8595",33,9,0.5,0.0173294179364158,0.732394971842094,12.9645180076192,1
"8596",33,10,0.5,0.0110537775575373,0.699620981941513,12.865718041989,1
"8597",33,11,0.5,0.00711460176764259,0.705019202071863,12.8822132019978,1
"8598",33,12,0.5,0.00478490944512555,0.749127364705838,13.013764265679,1
