"","country","combination","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"969","Egypt, Arab Rep.",4,0.75,0.309713810839237,0.315246741122964,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"970","Egypt, Arab Rep.",4,1,0.396303220553462,0.522949248999753,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"971","Egypt, Arab Rep.",5,0,-0.539329220310188,-0.567674231364045,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"972","Egypt, Arab Rep.",5,0.25,-0.574319365515375,-0.612722595466064,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"973","Egypt, Arab Rep.",5,0.5,-0.286702113238351,-0.346682270450115,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"974","Egypt, Arab Rep.",5,0.75,0.280681946238577,0.315205850885487,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"975","Egypt, Arab Rep.",5,1,0.376719142268766,0.522927063729865,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"976","Egypt, Arab Rep.",6,0,-0.518026778755835,-0.567649650226005,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"977","Egypt, Arab Rep.",6,0.25,-0.551993147279511,-0.612706906724676,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"978","Egypt, Arab Rep.",6,0.5,-0.253087873198504,-0.346721246154559,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"979","Egypt, Arab Rep.",6,0.75,0.309397163720365,0.315134811770215,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"980","Egypt, Arab Rep.",6,1,0.407736370725572,0.522888522926665,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"981","Egypt, Arab Rep.",7,0,-0.555856522187546,-0.567680189984601,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"982","Egypt, Arab Rep.",7,0.25,-0.591449684916228,-0.612726397896175,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"983","Egypt, Arab Rep.",7,0.5,-0.293703960434604,-0.346672821789726,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"984","Egypt, Arab Rep.",7,0.75,0.303870162670159,0.315223071104034,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"985","Egypt, Arab Rep.",7,1,0.394464974154605,0.522936406574325,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"986","Egypt, Arab Rep.",8,0,-0.525062909611598,-0.56764198091357,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"987","Egypt, Arab Rep.",8,0.25,-0.559698006373202,-0.612702010998897,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"988","Egypt, Arab Rep.",8,0.5,-0.259768170572812,-0.346733405608941,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"989","Egypt, Arab Rep.",8,0.75,0.323716090430683,0.315112647431685,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"990","Egypt, Arab Rep.",8,1,0.420374855412244,0.522876498627284,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"991","Egypt, Arab Rep.",9,0,-0.524927095187284,-0.567658263445952,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"992","Egypt, Arab Rep.",9,0.25,-0.55875228063911,-0.612712404519966,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"993","Egypt, Arab Rep.",9,0.5,-0.263407414525457,-0.346707589619483,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"994","Egypt, Arab Rep.",9,0.75,0.299509213232266,0.315159703923885,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"995","Egypt, Arab Rep.",9,1,0.397011175381086,0.522902027369609,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"996","Egypt, Arab Rep.",10,0,-0.536062124313971,-0.567666755345214,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"997","Egypt, Arab Rep.",10,0.25,-0.570949234943472,-0.612717824383169,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"998","Egypt, Arab Rep.",10,0.5,-0.279881283251512,-0.346694124877664,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"999","Egypt, Arab Rep.",10,0.75,0.291436971683962,0.315184245378071,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"1000","Egypt, Arab Rep.",10,1,0.387556845948384,0.522915341847856,0.631105488949186,0.384436629903087,0.509725793877629,26.820553,30.802498,100388073
"1001","El Salvador",1,0,-0.116632129971919,-0.321401935339777,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1002","El Salvador",1,0.25,-0.0599275738385537,-0.183780440369675,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1003","El Salvador",1,0.5,0.34874499335185,0.33584167007986,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1004","El Salvador",1,0.75,0.307798648108744,0.42139050265875,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1005","El Salvador",1,1,0.253025297699991,0.350126697855584,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1006","El Salvador",2,0,-0.106091377785692,-0.321411544168323,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1007","El Salvador",2,0.25,-0.0512176848293568,-0.183799225950949,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1008","El Salvador",2,0.5,0.329696770271811,0.33583064085042,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1009","El Salvador",2,0.75,0.282621307208527,0.421398116378607,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1010","El Salvador",2,1,0.232279756361887,0.350134793062858,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1011","El Salvador",3,0,-0.164654673685454,-0.32137455078176,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1012","El Salvador",3,0.25,-0.097392458723945,-0.18372690174462,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1013","El Salvador",3,0.5,0.346609069941119,0.335873098493627,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1014","El Salvador",3,0.75,0.363833119030016,0.421368801711126,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1015","El Salvador",3,1,0.341862869128026,0.350103626718783,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1016","El Salvador",4,0,-0.0895316026955049,-0.321343941755463,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1017","El Salvador",4,0.25,-0.0438350088255883,-0.183667057495469,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1018","El Salvador",4,0.5,0.35307715280546,0.335908220177682,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1019","El Salvador",4,0.75,0.355886489548804,0.42134454145595,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1020","El Salvador",4,1,0.283870539903309,0.350077838475887,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1021","El Salvador",5,0,-0.163634387474272,-0.321362024457005,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1022","El Salvador",5,0.25,-0.106902682487448,-0.18370241150644,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1023","El Salvador",5,0.5,0.357531938755608,0.335887472499769,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1024","El Salvador",5,0.75,0.408110568593254,0.421358874053399,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1025","El Salvador",5,1,0.340951693798875,0.350093073301625,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1026","El Salvador",6,0,-0.112911373496824,-0.321393421673992,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1027","El Salvador",6,0.25,-0.0565600717576528,-0.183763795731512,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1028","El Salvador",6,0.5,0.337048203315727,0.335851441617491,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1029","El Salvador",6,0.75,0.308007055797636,0.421383756355869,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1030","El Salvador",6,1,0.264457715177541,0.350119525250274,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1031","El Salvador",7,0,-0.124627487334443,-0.321354410166419,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1032","El Salvador",7,0.25,-0.0768361707545473,-0.183687524658236,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1033","El Salvador",7,0.5,0.350914867919766,0.335896209292582,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1034","El Salvador",7,0.75,0.392329481208083,0.42135283904493,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1035","El Salvador",7,1,0.314385200576277,0.35008665822271,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1036","El Salvador",8,0,-0.107717993577164,-0.321403212969865,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1037","El Salvador",8,0.25,-0.052521492333794,-0.183782938188672,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1038","El Salvador",8,0.5,0.345302461941442,0.335840203631431,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1039","El Salvador",8,0.75,0.297469948454545,0.421391515035253,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1040","El Salvador",8,1,0.241234164671581,0.350127774231447,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1041","El Salvador",9,0,-0.127811798866749,-0.321382422679524,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1042","El Salvador",9,0.25,-0.0688990619423896,-0.183742291962444,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1043","El Salvador",9,0.5,0.346988398121252,0.335864064795381,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1044","El Salvador",9,0.75,0.333049086156468,0.421375040164553,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1045","El Salvador",9,1,0.292947685327971,0.350110258737226,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1046","El Salvador",10,0,-0.147998138283173,-0.321371575889476,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1047","El Salvador",10,0.25,-0.0895515827855212,-0.183721085553027,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1048","El Salvador",10,0.5,0.358121014782496,0.335876512311724,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1049","El Salvador",10,0.75,0.374904903066081,0.421366444044638,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1050","El Salvador",10,1,0.317798354284578,0.350101120383287,0.896534785603768,0.617305618571879,0.75691946601285,13.794185,-88.89653,6453553
"1051","Estonia",1,0,-0.223271906311744,-0.0828102959171263,0.944083936748204,0.666878496690951,0.807337349348014,58.595272,25.013607,1326590
"1052","Estonia",1,0.25,-0.0757551991356235,0.0652998404176053,0.944083936748204,0.666878496690951,0.807337349348014,58.595272,25.013607,1326590
"1053","Estonia",1,0.5,0.38098013563825,0.471293783734151,0.944083936748204,0.666878496690951,0.807337349348014,58.595272,25.013607,1326590
"1054","Estonia",1,0.75,0.331567917525062,0.296881858349174,0.944083936748204,0.666878496690951,0.807337349348014,58.595272,25.013607,1326590
"1055","Estonia",1,1,0.28855224497432,0.130895547916773,0.944083936748204,0.666878496690951,0.807337349348014,58.595272,25.013607,1326590
"1056","Estonia",2,0,-0.256671079298442,-0.0828230612580374,0.944083936748204,0.666878496690951,0.807337349348014,58.595272,25.013607,1326590
